EM_ID,Exercise_ID,Muscle_ID,Muscle_Role,Intensity_Value,Intensity_Source,Contraction_Type,Notes
1,EX0001,MU0053,Stabilizer,6,Specific,Isometric,Maintains wrist extension during grip. (folds Extensor Digitorum; kept max of extensor-compartment scores)
2,EX0001,MU0024,Stabilizer,9,Specific,Isometric,Prevents spinal rounding; near-maximal.
3,EX0001,MU0014,Primary,9,Group,Isotonic,Hip extension; peaks at lockout.
4,EX0001,MU0015,Primary,9,Group,Isotonic,Hip extension; peaks at lockout.
5,EX0001,MU0016,Primary,9,Group,Isotonic,Hip extension; peaks at lockout.
6,EX0001,MU0020,Stabilizer,8,Specific,Isometric,Assists in anti-rotation and core bracing under load.
7,EX0001,MU0021,Stabilizer,8,Specific,Isometric,Supports anti-rotation and spinal stability.
8,EX0001,MU0018,Stabilizer,8,Specific,Isometric,Braces to resist flexion; high anti-flexion role.
9,EX0001,MU0022,Stabilizer,8,Specific,Isometric,Intra-abdominal pressure for spinal protection.
10,EX0001,MU0011,Primary,8,Group,Isotonic,Hip extension with glutes; high in hinge.
11,EX0001,MU0012,Primary,8,Group,Isotonic,Hip extension with glutes; high in hinge.
12,EX0001,MU0013,Primary,8,Group,Isotonic,Hip extension with glutes; high in hinge.
13,EX0001,MU0052,Stabilizer,7,Specific,Isometric,Primary grip strength under heavy load.
14,EX0001,MU0056,Stabilizer,6,Specific,Isometric,Supports grip and elbow stability.
15,EX0001,MU0025,Stabilizer,6,Specific,Isometric,Stabilizes pelvis against lateral tilt.
16,EX0001,MU0029,Secondary,6,Specific,Isotonic,Assists in shoulder extension and adduction.
17,EX0001,MU0030,Stabilizer,6,Specific,Isometric,Retracts scapulae for posture.
18,EX0001,MU0026,Stabilizer,6,Group,Isometric,Supports upper back and scapular stability.
19,EX0001,MU0027,Stabilizer,6,Group,Isometric,Supports upper back and scapular stability.
20,EX0001,MU0028,Stabilizer,6,Group,Isometric,Supports upper back and scapular stability.
21,EX0001,MU0007,Primary,5,Group,Isotonic,Knee extension early in pull; less above knees.
22,EX0001,MU0008,Primary,5,Group,Isotonic,Knee extension early in pull; less above knees.
23,EX0001,MU0009,Primary,5,Group,Isotonic,Knee extension early in pull; less above knees.
24,EX0001,MU0010,Primary,5,Group,Isotonic,Knee extension early in pull; less above knees.
25,EX0001,MU0048,Stabilizer,4,Specific,Isometric,Supports elbow stability in mixed grip.
26,EX0001,MU0049,Stabilizer,4,Specific,Isometric,Assists grip and elbow flexion.
27,EX0001,MU0050,Stabilizer,4,Specific,Isometric,Supports biceps in elbow stability.
28,EX0001,MU0017,Secondary,4,Specific,Isotonic,Stabilizes hips and assists extension.
29,EX0001,MU0036,Stabilizer,3,Specific,Isometric,Minor shoulder support during grip.
30,EX0001,MU0037,Stabilizer,3,Specific,Isometric,Slight lateral stabilization.
31,EX0001,MU0038,Stabilizer,3,Specific,Isometric,Assists in shoulder retraction.
32,EX0001,MU0005,Secondary,2,Specific,Isometric,Minor ankle stabilization.
33,EX0001,MU0006,Secondary,2,Specific,Isometric,Assists ankle stability.
34,EX0001,MU0002,Stabilizer,2,Specific,Isometric,Slight shin stabilization.
35,EX0001,MU0045,Stabilizer,2,Specific,Isometric,Minimal elbow extension support.
