Fact_Muscle_Name,Muscle_IDs,Intensity_Source,Note
Adductors,MU0017,Specific,
Anterior Deltoid,MU0036,Specific,
Biceps (Long Head),MU0048,Specific,
Biceps (Short Head),MU0049,Specific,
Brachialis,MU0050,Specific,
Brachioradialis,MU0056,Specific,
Erector Spinae,MU0024,Specific,
Extensor Digitorum,MU0053,Specific,folded into Forearm (Extensors) per D-12
External Obliques,MU0020,Specific,
Forearm (Extensors),MU0053,Specific,folded with Extensor Digitorum -> MU0053 (max intensity)
Forearm (Flexors),MU0052,Specific,
Gastrocnemius,MU0005,Specific,
Glutes,MU0014;MU0015;MU0016,Group,
Hamstrings,MU0011;MU0012;MU0013,Group,
Infraspinatus,MU0035,Specific,
Internal Obliques,MU0021,Specific,
Lateral Deltoid,MU0037,Specific,
Latissimus Dorsi,MU0029,Specific,
Pectoralis Major,MU0039;MU0040;MU0041,Group,
Pectoralis Minor,MU0042,Specific,
Peroneals,MU0003;MU0004,Group,
Posterior Deltoid,MU0038,Specific,
Quadratus Lumborum,MU0025,Specific,
Quadriceps,MU0007;MU0008;MU0009;MU0010,Group,
Rectus Abdominis,MU0018,Specific,
Rhomboids,MU0030,Specific,
Serratus Anterior,MU0043,Specific,
Soleus,MU0006,Specific,
Subclavius,MU0044,Specific,
Subscapularis,MU0033,Specific,
Supraspinatus,MU0032,Specific,
Teres Minor,MU0034,Specific,
Tibialis Anterior,MU0002,Specific,
Tibialis Posterior,MU0001,Specific,
Transversus Abdominis,MU0022,Specific,
Trapezius,MU0026;MU0027;MU0028,Group,
Triceps (Lateral Head),MU0045,Specific,
Triceps (Long Head),MU0046,Specific,
Triceps (Medial Head),MU0047,Specific,
